City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,boende,-0.2167,20.8667,30.88,51,65,1.17,CD,1723219329
84,nagqu,31.5,92.0,4.6,82,56,2.03,CN,1723219329
85,weno,7.4515,151.8468,28.48,75,100,3.23,FM,1723219330
86,chandbali,20.7833,86.7667,27.84,85,93,4.0,IN,1723219330
87,opuwo,-18.0607,13.84,30.34,11,1,4.25,NA,1723219330
88,kish,26.5578,54.0194,35.15,66,23,4.12,IR,1723219330
89,taoudenni,22.6783,-3.9836,45.16,12,24,3.71,ML,1723219330
90,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,3.0,RU,1723219330
91,luang prabang,19.8856,102.1347,24.81,90,96,0.94,LA,1723219331
92,yinchuan,38.4681,106.2731,25.77,33,61,4.02,CN,1723219331
93,constitucion,-35.3333,-72.4167,12.98,50,100,0.88,CL,1723219205
94,marvin,34.9918,-80.8148,30.34,72,68,0.45,US,1723219331
95,dudinka,69.4058,86.1778,11.99,62,2,7.2,RU,1723219331
96,tazovsky,67.4667,78.7,10.41,70,22,5.74,RU,1723219313
97,chibougamau,49.9168,-74.3659,16.79,88,100,4.63,CA,1723219332
98,utrik,11.2278,169.8474,28.13,78,32,6.96,MH,1723219332
99,punta arenas,-53.15,-70.9167,4.06,87,0,3.09,CL,1723219075
100,sal rei,16.1833,-22.9167,29.11,70,20,4.63,CV,1723219332
101,kununurra,-15.7667,128.7333,13.99,67,12,0.0,AU,1723219332
102,opelousas,30.5335,-92.0815,30.01,66,0,0.0,US,1723219332
103,martapura,-3.4167,114.85,25.05,88,51,0.51,ID,1723219333
104,puerto san jose,13.9256,-90.8244,25.03,94,100,3.09,GT,1723219333
105,puerto baquerizo moreno,-0.9,-89.6,21.55,83,100,4.12,EC,1723219172
106,zaozersk,69.4005,32.4476,20.93,47,0,3.56,RU,1723219333
107,aykhal,66.0,111.5,8.66,84,99,5.91,RU,1723219333
108,castillos,-34.1667,-53.8333,10.66,87,100,8.01,UY,1723219333
109,keflavik,64.0049,-22.5624,11.24,76,75,5.66,IS,1723219334
110,al bawiti,28.3492,28.8659,37.73,17,1,5.15,EG,1723219334
111,mont-tremblant,46.1949,-74.6264,16.77,100,100,0.51,CA,1723219207
112,invercargill,-46.4,168.35,1.12,96,89,1.34,NZ,1723219334
113,teknaf,20.8624,92.3058,26.58,89,56,3.35,BD,1723219334
114,hammerfest,70.6634,23.6821,18.25,72,0,6.17,NO,1723219334
115,saint-denis,48.9167,2.3333,27.28,61,75,5.14,FR,1723219334
116,uturoa,-16.7333,-151.4333,24.36,81,53,6.51,PF,1723219335
117,serdar,38.9764,56.2757,35.06,26,1,2.26,TM,1723219335
118,el idrissia,34.4454,2.5275,37.8,15,0,5.67,DZ,1723219335
119,namdrik,5.5994,168.1028,29.17,67,88,4.98,MH,1723219335
120,fortuna,40.5982,-124.1573,13.88,100,75,0.0,US,1723219335
121,nadi,-17.8,177.4167,18.0,82,20,1.54,FJ,1723219335
122,beyneu,45.3167,55.2,32.08,24,9,6.89,KZ,1723219336
123,west island,-12.1568,96.8225,26.99,78,75,5.66,CC,1723219336
124,afaahiti,-17.75,-149.2833,22.66,81,96,4.6,PF,1723219336
125,alice springs,-23.7,133.8833,6.75,65,0,2.57,AU,1723219336
126,atamyrat,37.8357,65.2106,37.01,24,22,8.66,TM,1723219336
127,velingara,13.15,-14.1167,29.67,77,77,3.21,SN,1723219336
128,kampene,-3.6,26.6667,30.08,33,73,0.26,CD,1723219337
129,teruel,40.6667,-0.6667,31.7,22,65,4.13,ES,1723219337
130,tangalle,6.024,80.7911,26.79,82,98,4.4,LK,1723219337
131,san salvador de jujuy,-24.1946,-65.2971,13.97,27,0,3.09,AR,1723219337
132,zouerate,22.7187,-12.4521,45.77,5,4,10.8,MR,1723219337
133,mokokchung,26.3333,94.5333,20.93,98,41,1.43,IN,1723219337
134,puerto natales,-51.7236,-72.4875,5.25,93,100,3.09,CL,1723218737
135,iqaluit,63.7506,-68.5145,9.85,87,100,8.75,CA,1723219215
136,taichung,24.1469,120.6839,28.91,80,40,4.12,TW,1723219338
137,peace river,56.2501,-117.286,18.17,74,0,2.06,CA,1723219209
138,leninskoye,41.7589,69.3864,30.82,27,78,5.15,KZ,1723219338
139,fale old settlement,-9.3852,-171.2468,28.02,75,52,6.41,TK,1723219338
140,port elizabeth,-33.918,25.5701,17.16,78,0,8.23,ZA,1723219339
141,jeremoabo,-10.075,-38.4808,32.15,34,27,4.04,BR,1723219311
142,sungailiat,-1.85,106.1333,26.08,85,70,2.61,ID,1723219339
143,port mathurin,-19.6833,63.4167,22.45,67,8,10.46,MU,1723219339
144,richmond hill,43.8711,-79.4372,21.88,91,100,4.5,CA,1723219261
145,nyandoma,61.669,40.1991,15.53,79,97,2.64,RU,1723219339
146,mawu,34.4307,104.9176,14.82,74,96,3.45,CN,1723219339
147,georgetown,5.4112,100.3354,27.96,82,40,1.03,MY,1723219340
148,bronnitsy,55.4194,38.2708,20.94,64,40,5.0,RU,1723219340
149,livny,52.4253,37.6069,21.18,58,89,2.06,RU,1723219340
150,angaur state,6.906,134.13,27.49,74,98,0.87,PW,1723219340
151,kingston,17.997,-76.7936,32.31,66,20,3.6,JM,1723219199
152,avarua,-21.2078,-159.775,21.03,56,100,2.06,CK,1723219340
153,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1723219341
154,catbalogan,11.85,124.9167,25.37,91,62,0.64,PH,1723219341
155,east london,-33.0153,27.9116,18.52,72,0,4.63,ZA,1723219341
156,acapulco de juarez,16.8634,-99.8901,26.59,77,100,1.8,MX,1723219206
157,anadyr,64.75,177.4833,1.28,100,40,2.0,RU,1723219341
158,stanley,54.868,-1.6985,20.29,54,20,9.77,GB,1723219341
159,samana,19.2056,-69.3369,31.12,79,40,4.12,DO,1723219341
160,aripuana,-9.1667,-60.6333,36.38,20,0,1.91,BR,1723219286
161,konstantinovka,49.6167,127.9833,16.98,92,8,1.32,RU,1723219342
162,lihue,21.9789,-159.3672,21.87,95,33,3.33,US,1723219342
163,akureyri,65.6835,-18.0878,10.96,76,75,3.6,IS,1723219342
164,prince rupert,54.3161,-130.3201,13.05,100,100,1.54,CA,1723219342
165,alnwick,55.4132,-1.7056,18.71,59,100,8.23,GB,1723219342
166,mtwara,-10.2667,40.1833,24.1,66,28,3.69,TZ,1723219342
